SR,DateTime,OPEN,HIGH,LOW,CLOSE
0,1664236800000,0.1596,0.1668,0.1568,0.1572
1,1664323200000,0.1573,0.1591,0.1505,0.1552
2,1664409600000,0.1553,0.1575,0.1532,0.1566
3,1664496000000,0.1566,0.1619,0.1559,0.1606
4,1664582400000,0.1606,0.1618,0.1579,0.1585
5,1664668800000,0.1585,0.1603,0.1503,0.1505
6,1664755200000,0.1503,0.1548,0.1483,0.154
7,1664841600000,0.1541,0.1587,0.1533,0.1574
8,1664928000000,0.1574,0.1589,0.1519,0.1563
9,1665014400000,0.1564,0.1637,0.1536,0.1544
10,1665100800000,0.1543,0.1645,0.152,0.1617
11,1665187200000,0.1618,0.1647,0.1574,0.1591
12,1665273600000,0.159,0.1632,0.158,0.1624
13,1665360000000,0.1624,0.1634,0.1536,0.154
14,1665446400000,0.154,0.1545,0.1477,0.1536
15,1665532800000,0.1534,0.1567,0.1529,0.1544
16,1665619200000,0.1542,0.1548,0.1372,0.1511
17,1665705600000,0.151,0.1556,0.1441,0.1481
18,1665792000000,0.148,0.1494,0.1458,0.147
19,1665878400000,0.147,0.1536,0.1469,0.1501
20,1665964800000,0.1501,0.1529,0.1485,0.1524
21,1666051200000,0.1528,0.21,0.1508,0.1679
22,1666137600000,0.168,0.168,0.1594,0.1647
23,1666224000000,0.165,0.1683,0.1616,0.166
24,1666310400000,0.1659,0.1675,0.1526,0.1605
25,1666396800000,0.1606,0.1644,0.1574,0.1586
26,1666483200000,0.1586,0.1645,0.1585,0.1639
27,1666569600000,0.1637,0.1639,0.1581,0.1596
28,1666656000000,0.1596,0.1774,0.1575,0.1646
29,1666742400000,0.1648,0.1723,0.1646,0.168
30,1666828800000,0.1678,0.1941,0.1656,0.179
31,1666915200000,0.1787,0.1903,0.176,0.1817
32,1667001600000,0.1818,0.1939,0.1815,0.1858
33,1667088000000,0.1858,0.1918,0.1746,0.1774
34,1667174400000,0.1777,0.1804,0.1688,0.1727
35,1667260800000,0.1727,0.176,0.1641,0.1674
36,1667347200000,0.1671,0.188,0.164,0.1724
37,1667433600000,0.1723,0.2466,0.1714,0.2298
38,1667520000000,0.2298,0.2692,0.2036,0.2342
39,1667606400000,0.2347,0.2648,0.226,0.2462
40,1667692800000,0.2462,0.2589,0.2155,0.2159
41,1667779200000,0.2159,0.2393,0.2084,0.2343
42,1667865600000,0.2343,0.2471,0.1389,0.1605
43,1667952000000,0.1603,0.1607,0.1208,0.1246
44,1668038400000,0.1249,0.153,0.1226,0.146
45,1668124800000,0.1461,0.1524,0.1292,0.1414
46,1668211200000,0.1413,0.1416,0.128,0.1306
47,1668297600000,0.1306,0.1348,0.1255,0.1307
48,1668384000000,0.13,0.1398,0.1206,0.1374
49,1668470400000,0.1374,0.1489,0.1345,0.1377
50,1668556800000,0.1377,0.1409,0.1303,0.1333
51,1668643200000,0.1331,0.1369,0.1283,0.1299
52,1668729600000,0.1298,0.1333,0.1259,0.129
53,1668816000000,0.1291,0.1319,0.1262,0.1312
54,1668902400000,0.131,0.1326,0.1231,0.1246
55,1668988800000,0.1245,0.1247,0.1154,0.1197
56,1669075200000,0.1196,0.1235,0.1156,0.1231
57,1669161600000,0.1232,0.1307,0.1226,0.1301
58,1669248000000,0.1301,0.1319,0.1265,0.1292
59,1669334400000,0.1291,0.1331,0.1253,0.131
60,1669420800000,0.131,0.1386,0.131,0.1335
61,1669507200000,0.1335,0.1388,0.1327,0.134
62,1669593600000,0.1338,0.1435,0.1283,0.1407
63,1669680000000,0.1405,0.1441,0.1365,0.14
64,1669766400000,0.1401,0.1449,0.1373,0.1416
65,1669852800000,0.1414,0.1437,0.1361,0.1378
66,1669939200000,0.1377,0.1412,0.1335,0.1396
67,1670025600000,0.1397,0.145,0.1351,0.1357
68,1670112000000,0.1357,0.1419,0.1354,0.139
69,1670198400000,0.139,0.1426,0.137,0.1418
70,1670284800000,0.1419,0.145,0.1383,0.1401
71,1670371200000,0.14,0.1408,0.1293,0.1348
72,1670457600000,0.1348,0.147,0.1329,0.144
73,1670544000000,0.144,0.174,0.1418,0.1535
74,1670630400000,0.1536,0.1575,0.1521,0.1529
75,1670716800000,0.1529,0.1999,0.1482,0.1614
76,1670803200000,0.1613,0.225,0.1564,0.1723
77,1670889600000,0.1725,0.1796,0.1662,0.1701
78,1670976000000,0.1702,0.1875,0.1667,0.1702
79,1671062400000,0.1702,0.1794,0.165,0.1739
80,1671148800000,0.1738,0.1818,0.1482,0.1508
81,1671235200000,0.1508,0.161,0.1471,0.1522
82,1671321600000,0.1522,0.1531,0.1444,0.1479
83,1671408000000,0.1481,0.1527,0.1442,0.1511
84,1671494400000,0.151,0.1617,0.1503,0.1558
85,1671580800000,0.1558,0.17,0.1548,0.1659
86,1671667200000,0.1661,0.1718,0.1601,0.1636
87,1671753600000,0.1635,0.1666,0.1604,0.1619
88,1671840000000,0.1622,0.1671,0.1603,0.1653
89,1671926400000,0.1652,0.1689,0.1623,0.164
90,1672012800000,0.1639,0.175,0.1634,0.1694
91,1672099200000,0.1695,0.1937,0.1673,0.1695
92,1672185600000,0.1695,0.1799,0.1655,0.1717
93,1672272000000,0.1717,0.1749,0.1606,0.1653
94,1672358400000,0.1653,0.1701,0.1583,0.1667
95,1672444800000,0.1666,0.1696,0.1621,0.1634
96,1672531200000,0.1634,0.1653,0.1617,0.1631
97,1672617600000,0.1631,0.1693,0.1584,0.1669
98,1672704000000,0.1669,0.1717,0.1627,0.1647
99,1672790400000,0.1646,0.1848,0.1642,0.1773
100,1672876800000,0.1773,0.19,0.1755,0.1836
101,1672963200000,0.1834,0.2028,0.1812,0.1906
102,1673049600000,0.1905,0.214,0.1877,0.2087
103,1673136000000,0.2089,0.2414,0.1984,0.2145
104,1673222400000,0.2146,0.2343,0.2017,0.2029
105,1673308800000,0.2036,0.2461,0.1976,0.2335
106,1673395200000,0.2331,0.248,0.2161,0.2232
107,1673481600000,0.2231,0.2584,0.2084,0.2477
108,1673568000000,0.2475,0.2686,0.2473,0.261
109,1673654400000,0.2609,0.2977,0.245,0.2635
110,1673740800000,0.2633,0.276,0.2465,0.2658
111,1673827200000,0.2652,0.2783,0.2439,0.2493
112,1673913600000,0.2495,0.2989,0.2455,0.2828
113,1674000000000,0.2825,0.2882,0.2523,0.2725
114,1674086400000,0.2723,0.2876,0.2571,0.2665
115,1674172800000,0.2662,0.2871,0.2598,0.2833
116,1674259200000,0.2833,0.3714,0.2735,0.3197
117,1674345600000,0.3199,0.3476,0.3038,0.3118
118,1674432000000,0.3116,0.3676,0.3116,0.3561
119,1674518400000,0.3561,0.3861,0.3464,0.3625
120,1674604800000,0.3629,0.374,0.3325,0.3611
121,1674691200000,0.3611,0.387,0.3526,0.3708
122,1674777600000,0.3711,0.3989,0.3664,0.387
123,1674864000000,0.3869,0.3999,0.3725,0.3879
124,1674950400000,0.3879,0.3894,0.3625,0.3804
125,1675036800000,0.3802,0.385,0.3356,0.3502
126,1675123200000,0.3501,0.3627,0.337,0.349
127,1675209600000,0.349,0.3802,0.3231,0.3715
128,1675296000000,0.3717,0.389,0.3512,0.3591
129,1675382400000,0.3594,0.3935,0.355,0.3909
130,1675468800000,0.3911,0.4131,0.38,0.3944
131,1675555200000,0.3945,0.4498,0.3835,0.4392
132,1675641600000,0.4397,0.4665,0.4177,0.4458
133,1675728000000,0.4459,0.5774,0.4419,0.5207
134,1675814400000,0.5208,0.55,0.4679,0.4826
135,1675900800000,0.4826,0.5381,0.4172,0.4424
136,1675987200000,0.4425,0.4698,0.423,0.4439
137,1676073600000,0.4439,0.4608,0.4266,0.4575
138,1676160000000,0.4575,0.4798,0.4401,0.4569
139,1676246400000,0.4569,0.4636,0.4023,0.419
140,1676332800000,0.4189,0.4855,0.4175,0.4741
141,1676419200000,0.4743,0.5053,0.4563,0.5051
142,1676505600000,0.505,0.5093,0.4395,0.443
143,1676592000000,0.4433,0.5128,0.4422,0.4866
144,1676678400000,0.4868,0.5104,0.4734,0.4811
145,1676764800000,0.481,0.4919,0.4531,0.4628
146,1676851200000,0.4631,0.4845,0.4533,0.4648
147,1676937600000,0.4651,0.5,0.4268,0.45
148,1677024000000,0.4501,0.4541,0.4141,0.4504
149,1677110400000,0.4503,0.4664,0.4312,0.438
150,1677196800000,0.4382,0.4445,0.392,0.4218
151,1677283200000,0.4216,0.4255,0.371,0.3918
152,1677369600000,0.3918,0.409,0.388,0.4061
153,1677456000000,0.4061,0.4094,0.3829,0.3994
154,1677542400000,0.3993,0.4274,0.3825,0.3855
155,1677628800000,0.3855,0.4238,0.3835,0.42
156,1677715200000,0.42,0.4232,0.3922,0.4032
157,1677801600000,0.4032,0.4053,0.3389,0.3794
158,1677888000000,0.3796,0.3931,0.357,0.3711
159,1677974400000,0.3711,0.4132,0.3689,0.3936
160,1678060800000,0.3936,0.4025,0.3864,0.394
161,1678147200000,0.3939,0.4003,0.366,0.3738
162,1678233600000,0.3737,0.3767,0.3254,0.334
163,1678320000000,0.3341,0.3468,0.3027,0.3117
164,1678406400000,0.3116,0.3487,0.2852,0.3447
165,1678492800000,0.3448,0.3544,0.3215,0.3399
166,1678579200000,0.3398,0.374,0.3251,0.3708
167,1678665600000,0.3707,0.3931,0.3501,0.3852
168,1678752000000,0.3854,0.4477,0.3749,0.4195
169,1678838400000,0.4189,0.4489,0.3777,0.3882
170,1678924800000,0.3883,0.4053,0.3786,0.39
171,1679011200000,0.39,0.4265,0.3834,0.4262
172,1679097600000,0.4265,0.445,0.3818,0.3907
173,1679184000000,0.3907,0.4144,0.3903,0.3955
174,1679270400000,0.3955,0.4097,0.3529,0.3593
175,1679356800000,0.3591,0.3838,0.3561,0.3743
176,1679443200000,0.3742,0.3797,0.337,0.3588
177,1679529600000,0.3588,0.3777,0.3512,0.3723
178,1679616000000,0.3723,0.3733,0.3449,0.354
179,1679702400000,0.3539,0.3564,0.3401,0.3445
180,1679788800000,0.3444,0.3619,0.3406,0.3561
181,1679875200000,0.356,0.357,0.3222,0.3301
182,1679961600000,0.33,0.3443,0.325,0.339
183,1680048000000,0.3392,0.3596,0.338,0.3541
184,1680134400000,0.354,0.3614,0.3367,0.3461
185,1680220800000,0.3461,0.3608,0.3379,0.3574
186,1680307200000,0.3572,0.3658,0.3478,0.3561
187,1680393600000,0.356,0.3585,0.3388,0.3444
188,1680480000000,0.3445,0.3496,0.3308,0.3445
189,1680566400000,0.3444,0.3605,0.3362,0.3564
190,1680652800000,0.3563,0.3657,0.3502,0.3607
191,1680739200000,0.3604,0.3645,0.3485,0.3584
192,1680825600000,0.3585,0.3634,0.3478,0.3594
193,1680912000000,0.3596,0.3719,0.3524,0.3559
194,1680998400000,0.356,0.36,0.3428,0.3571
195,1681084800000,0.3572,0.3754,0.3522,0.3736
196,1681171200000,0.374,0.3903,0.3668,0.3824
197,1681257600000,0.3824,0.3998,0.3664,0.3891
198,1681344000000,0.3893,0.4027,0.377,0.3989
199,1681430400000,0.399,0.4189,0.3972,0.4186
